ImageSceneContainerName::Image Scene Container Name ;ImageSceneRow::Image Scene Row Index!!I;ImageSceneColumn::Image Scene Column Index!!I;ID::ID!!I;Index::Index!!I;IntensityMean_mCher::Intensity Mean Value of channel 'mCher'!!R;Area::Area!!R;Perimeter::Perimeter!!R;Roundness::Roundness!!R;FeretRatio::Feret Ratio!!R
;;;;;"Gray";"µm²";"µm";;
"F9";6;9;5;4;5469,8171275647;961,73182597598;116,37260830655;0,89892037896326;0,92854824085148
"F9";6;9;6;5;5007,4677516576;1423,2944685943;143,74892249925;0,85111713355466;0,87933993553747
"F9";6;9;7;6;4843,3115015974;537,05987784207;86,919067468401;0,7664029190879;0,80623137903065
"F9";6;9;8;7;4766,876460768;513,89595339841;86,825975517972;0,65470594054541;0,68368115995795
"F9";6;9;9;8;4392,6325581395;184,4534724218;56,380367332303;0,55867035107856;0,58728224995137
"F9";6;9;10;9;4935,3551912568;156,99993234041;47,660533000335;0,78720663241051;0,86433698123768
"F9";6;9;11;10;4036,1388888889;277,96709332401;67,626916008275;0,60666419628341;0,64283604201904
"F9";6;9;12;11;5365,9035532995;169,01085612602;48,745692298279;0,81970014048362;0,85749301575142
"F9";6;9;13;12;4120,828358209;574,80849545398;101,10325823851;0,54965935364981;0,61026472880506
"F9";6;9;14;13;5296,9814323607;323,4370190838;69,704142653735;0,78433236792468;0,85749301575142
"F9";6;9;15;14;5364,6226415094;227,34962879896;57,690270479519;0,70007916297793;0,77436283454379
"F8";6;8;2;1;10839,219642857;480,43695142422;86,469579769857;0,64527298101924;0,66182832212895
"F8";6;8;3;2;6016,1076923077;111,53000658062;45,265470555174;0,44739345981006;0,52671525043953
"F8";6;8;4;3;9163,2;184,4534724218;51,365498592711;0,77548877201861;0,79837095151437
"F8";6;8;5;4;10285,365671642;229,92339818159;56,380367332303;0,76686149899214;0,80590700762764
"F8";6;8;6;5;7179,1711711712;95,2294671573;39,483278317338;0,60926983574948;0,7878971616345
"F8";6;8;7;6;7324,932038835;88,366082136955;36,863472022906;0,50440575505466;0,58295796594635
"F8";6;8;8;7;6627,3287671233;250,51355324263;63,697206566627;0,53348063812088;0,5927931276535
"F8";6;8;9;8;6230,7401574803;108,95623719799;41,017925313826;0,52843613117472;0,56591651784074
"F8";6;8;10;9;8635,9105882353;364,61732920588;74,044779845512;0,66806259323635;0,70273089737771
"F8";6;8;11;10;9841,4763636364;235,92886007439;58,139758178063;0,75147802299975;0,81895822064151
"F8";6;8;12;11;7968,879661017;506,17464525052;109,5983487212;0,47756653104675;0,5663335006165
"F8";6;8;13;12;8638,651026393;292,55178649225;65,007109713843;0,7923106606146;0,86880981363439
"F8";6;8;14;13;8777,5993377483;259,09278451806;71,874461249624;0,45505145158998;0,53863954361123
"F8";6;8;15;14;7391,5244755245;122,68300723868;41,653596913226;0,7462440065276;0,83226321984916
"F8";6;8;16;15;7892,1897810219;117,53546847343;41,335761113526;0,62975437221952;0,72102695180252
"F8";6;8;17;16;6022,2816901409;60,912542055571;31,848603283314;0,65987163523327;0,82763897048924
"F8";6;8;18;17;7267,2743902439;281,39878583419;67,720007958704;0,5760592447043;0,59110854054455
"F8";6;8;19;18;7526,2773109244;306,27855653294;67,944751807976;0,73680812510794;0,79509605597599
"F8";6;8;20;19;6416,4198250729;294,26763274733;68,936819155491;0,57088296993431;0,60360890401684
"F8";6;8;21;20;9247,648409894;485,58449018948;96,948804947585;0,47262401995653;0,61416940506534
"F8";6;8;22;21;7383,460251046;410,08725496567;79,191300483948;0,60864792042964;0,64848071268954
"F8";6;8;23;22;7137,0881226054;223,91793628879;61,395236071895;0,54928580587689;0,60053995306682
"F8";6;8;24;23;8656,1460674157;152,7103167027;47,117953351362;0,80659246034259;0,8948562539663
"F8";6;8;25;24;8327,9833333333;102,95077530519;39,258534468066;0,65867009270214;0,7063820912592
"F8";6;8;26;25;6131,9558823529;116,67754534588;48,970436147551;0,37811642342773;0,46259538413902
"F8";6;8;27;26;6194,9107142857;144,13108542727;56,062531532603;0,46708499364602;0,6123260960659
"F8";6;8;28;27;6516,2565055762;230,78132130913;59,000173626735;0,6989875555355;0,75611642878563
"F8";6;8;29;28;10233,255813954;368,9069448436;72,192297049324;0,85546397508904;0,86962948550492
"F8";6;8;30;29;6717,8157894737;65,202157693287;42,645664260742;0,35974321764595;0,63786743394741
"F8";6;8;31;30;7085,5528455285;211,04908937564;70,564558102408;0,42327280558754;0,62385522159525
"F8";6;8;32;31;6977,7899159664;102,09285217765;38,173375170122;0,78100851443973;0,86155020537185
"F8";6;8;33;32;6537,5188679245;90,939851519584;37,94863132085;0,64886317025484;0,82040381040898
"F8";6;8;34;33;6418,1129943503;151,85239357516;51,272406642282;0,52047034121032;0,57361876073893
"F8";6;8;35;34;6620,1956521739;78,928927733979;35,778312724962;0,55257615658188;0,67689913298192
"F8";6;8;36;35;9389,1353846154;557,65003290311;96,406225298613;0,64564207408419;0,78763739184745
"F8";6;8;37;36;6252,9759036145;142,41523917218;47,885276849606;0,57286860263846;0,65765401267647
"F8";6;8;38;37;7649,8068965517;248,79770698754;81,81110677838;0,35440726710323;0,5416804385551
"F8";6;8;39;38;6501,7464114833;179,30593365654;53,760561037871;0,6490987145369;0,69144112696115
"F8";6;8;40;39;6001,2631578947;48,901618269965;30,538700136098;0,35405384429286;0,4383934933953
"F8";6;8;41;40;7810,1062322946;605,69372804553;125,54193033707;0,49801306771144;0,69963746221017
"F8";6;8;42;41;6172,0921052632;65,202157693287;31,848603283314;0,47904168986015;0,54727106528332
"F8";6;8;43;42;7753,4848484849;141,55731604464;47,660533000334;0,56780498310524;0,70539759762532
"F8";6;8;44;43;7401,9915433404;405,79763932796;90,306197261077;0,43140606512585;0,5082813772072
"F8";6;8;45;44;6705,8723404255;80,644773989065;34,786245377446;0,58387826953559;0,62861491242707
"F8";6;8;46;45;7882,4773185484;1702,1194850458;285,55227025188;0,36120534074988;0,50770639393175
"F8";6;8;47;46;6643,1363636364;56,622926417854;29,453540838153;0,64641565396344;0,74420940411902
"F8";6;8;48;47;6242,5363636364;94,371544029757;48,203112649307;0,33667428645298;0,41393633162646
"F8";6;8;49;48;6687,2818181818;94,371544029757;40,793181464554;0,39343043449283;0,47436994195763
"F8";6;8;50;49;6987,2475728155;176,73216427391;52,900145589199;0,63049911826649;0,68071781030021
"F7";6;7;2;1;5440,6312849162;153,56823983024;46,893209502091;0,8228177564036;0,90128368975315
"F7";6;7;3;2;4093,3639053254;289,97801710962;65,007109713843;0,70319453676006;0,76017533352434
"F7";6;7;4;3;4254,1762114537;194,74854995232;53,442725238171;0,80285404587168;0,84897073673976
"F7";6;7;5;4;4381,678700361;475,28941265896;83,756681524996;0,77599150930562;0,7960306404121
"F7";6;7;6;5;4000,2798634812;251,37147637017;63,472462717355;0,58207116217436;0,6242979557985
"F7";6;7;7;6;4774,2787037037;926,55697774671;127,71224893296;0,5465692889838;0,64210072062473
"F7";6;7;8;7;4309,6348122867;251,37147637017;62,387303419411;0,59691188010305;0,64282467145194
"F7";6;7;9;8;4585,2098623853;748,10896721771;106,34287082737;0,70953307436367;0,78447132307781
"F7";6;7;10;9;5440,012195122;70,349696458546;31,08127978507;0,76768871024989;0,85749301575142
"F6";6;6;2;1;7218,7774086379;258,23486139052;61,395236071895;0,72319149581127;0,75831710708035
"F6";6;6;3;2;5611,4756944444;247,08186073246;60,310076773951;0,72042325368586;0,75351426659855
"F6";6;6;4;3;5474,0857142857;450,40964196021;121,48056899658;0,40147827088249;0,49014695296515
"F6";6;6;5;4;5055,0441640379;271,96163143121;62,929883068383;0,7502539473274;0,77605403123648
"F6";6;6;6;5;5190,1855072464;295,98347900242;65,324945513543;0,80160462730802;0,84674237584051
"F6";6;6;7;6;5600,8008130081;422,09817875128;79,509136283648;0,67432051846349;0,71918773554109
"F6";6;6;8;7;5210,8358208955;287,40424772699;64,239786215599;0,68247604039086;0,73540163642263
"F6";6;6;9;8;4681,1586715867;232,49716756422;58,682337827035;0,67789826996135;0,71450997146612
"F6";6;6;10;9;5297,8630136986;125,25677662131;43,730823558686;0,5809197226186;0,67082280689487
"F6";6;6;11;10;5149,6363636364;320,86324970117;69,254654955192;0,6568466050332;0,72183449255322
"F6";6;6;12;11;6048,5697674419;73,781388968719;33,15850643053;0,6441126034614;0,72047726944458
"F6";6;6;13;12;5138,9482758621;99,519082795017;38,715954819094;0,61289949362596;0,64418495459383
"F6";6;6;14;13;6276,3618489134;2487,1191467479;271,68591528147;0,33382943713583;0,40842603607097
"F6";6;6;15;14;5482,3142144638;344,02717414484;72,099205098896;0,63189380800632;0,67165085284771
